ligand,pdb,sample,n_span,rms,control_ihelix_rms
1RD,4K9T,input_model_3,7,4.543553689170962,0.7581168595681814
1RD,4K9T,input_model_4,7,4.38688186116637,0.7115900537584331
1RD,4K9T,input_model_5,7,4.624817701138564,0.794690475673084
1RD,4K9T,input_model_6,7,4.461087519133505,0.7342587394948349
1RD,4K9T,input_model_7,7,4.469732938703022,0.715585903567423
1RD,4K9T,input_model_8,7,4.214498077115585,0.7245726884064517
1RD,4K9T,input_model_9,7,4.4387153898929785,0.8265340439626019
2QH,4NY4,input_model_0,7,0.9824689555669833,0.4426049324350212
2QH,4NY4,input_model_1,7,0.8884716504572697,0.359775338108139
2QH,4NY4,input_model_10,7,1.1466447975442602,0.4392367774160997
2QH,4NY4,input_model_11,7,1.1038491727283837,0.40690928358783296
2QH,4NY4,input_model_12,7,0.7585130164600912,0.3803856390588637
2QH,4NY4,input_model_13,7,0.7791230070016977,0.4930781474733682
2QH,4NY4,input_model_14,7,1.0800268904492283,0.5637516841735725
2QH,4NY4,input_model_15,7,2.108610433938993,0.41034848775535365
2QH,4NY4,input_model_16,7,1.158341047066902,0.4642417334570219
2QH,4NY4,input_model_17,7,4.725154364735377,0.6180932490986245
2QH,4NY4,input_model_18,7,2.1173020865465046,0.49100203289913236
2QH,4NY4,input_model_19,7,1.363361383978097,0.4935400441188124
2QH,4NY4,input_model_2,7,0.9943699557323461,0.4452858802875007
2QH,4NY4,input_model_3,7,0.9695730478831903,0.3253240530271812
2QH,4NY4,input_model_4,7,0.9639398383748576,0.35041650158906956
2QH,4NY4,input_model_5,7,0.7184902565836738,0.3484361162843941
2QH,4NY4,input_model_6,7,1.0235863508843548,0.3705922022579507
2QH,4NY4,input_model_7,7,1.1118874106304941,0.4119735062911628
2QH,4NY4,input_model_8,7,1.0638687450990323,0.41969742176549985
2QH,4NY4,input_model_9,7,0.9926054611242937,0.4198739634025694
6AW,4K9V,input_model_0,7,0.9637058212804418,0.22836988472471698
6AW,4K9V,input_model_1,7,1.0363834548854356,0.2041708182225691
6AW,4K9V,input_model_10,7,1.0584023413343262,0.22233511976009226
6AW,4K9V,input_model_11,7,1.1543315504024683,0.23398587653884548
6AW,4K9V,input_model_12,7,1.1534466727880521,0.21949049887618466
6AW,4K9V,input_model_13,7,1.039117691726143,0.21847409548737398
6AW,4K9V,input_model_14,7,1.1591061169691237,0.21197276862858047
6AW,4K9V,input_model_15,7,1.0972368858941168,0.23357409299139859
6AW,4K9V,input_model_16,7,1.1113320742923818,0.20074150679985237
6AW,4K9V,input_model_17,7,1.1722640844852426,0.24916877957179015
6AW,4K9V,input_model_18,7,1.2485663929374442,0.22913607786556386
6AW,4K9V,input_model_19,7,1.0877997098696963,0.21938280207204783
6AW,4K9V,input_model_2,7,1.2166870474125362,0.21678971440104317
6AW,4K9V,input_model_3,7,1.1195668080776313,0.2230810301654302
6AW,4K9V,input_model_4,7,1.123003264391331,0.21262542761612002
6AW,4K9V,input_model_5,7,1.1175339690631034,0.2275299832929825
6AW,4K9V,input_model_6,7,0.9530611909711139,0.2216146866177956
6AW,4K9V,input_model_7,7,1.0910495481005156,0.21017113428766385
6AW,4K9V,input_model_8,7,1.1731502535804348,0.21282056854560255
6AW,4K9V,input_model_9,7,1.1145215501326733,0.2325655448072159
7AW,4K9W,input_model_0,7,4.464990271108597,0.9026642063880286
7AW,4K9W,input_model_1,7,4.386053172932299,1.0532551634773422
7AW,4K9W,input_model_10,7,4.434845536010756,0.9817879572925369
7AW,4K9W,input_model_11,7,4.423447809381448,0.9771094961807916
7AW,4K9W,input_model_12,7,1.6448499428495422,0.48327667902318083
7AW,4K9W,input_model_13,7,3.7322678001205283,0.7717143822940116
7AW,4K9W,input_model_14,7,1.4485405540222276,0.5026114073029361
7AW,4K9W,input_model_15,7,0.8114169561335284,0.4671643670729671
7AW,4K9W,input_model_16,7,0.8836116759835883,0.634885293507588
7AW,4K9W,input_model_17,7,4.487190963587633,0.9161860124033222
7AW,4K9W,input_model_18,7,1.6141629441946594,0.7327629542810675
7AW,4K9W,input_model_19,7,1.376924380436474,0.6147484634862881
7AW,4K9W,input_model_2,7,4.235383836802766,0.9819389579400174
7AW,4K9W,input_model_3,7,4.71136098153199,0.9253916945073666
7AW,4K9W,input_model_4,7,4.415019474302992,0.9982950257198748
7AW,4K9W,input_model_5,7,4.630560305219391,0.9468530530551343
7AW,4K9W,input_model_6,7,4.1869387964720595,0.8999661114530838
7AW,4K9W,input_model_7,7,4.64102682369964,0.9597205077071473
7AW,4K9W,input_model_8,7,4.4660550663201874,1.0520556359221667
7AW,4K9W,input_model_9,7,4.423161479155511,0.9518239888651993
80K,6BD6,input_model_0,7,0.663763387957255,0.3221199234187869
80K,6BD6,input_model_1,7,1.0317264574838834,0.529140575818773
80K,6BD6,input_model_10,7,0.9057830593917438,0.3115947277505487
80K,6BD6,input_model_11,7,1.1717350559451638,0.454982563352555
80K,6BD6,input_model_12,7,0.9876939050070719,0.45588105748913504
80K,6BD6,input_model_13,7,2.428569615903775,0.37055536960236746
80K,6BD6,input_model_14,7,1.0589623027140027,0.5105722144584339
80K,6BD6,input_model_15,7,1.086711627683867,0.5700631498152887
80K,6BD6,input_model_16,7,0.9214632502157095,0.4403405573535542
80K,6BD6,input_model_17,7,0.9682289020723429,0.48220520363417496
80K,6BD6,input_model_18,7,1.1652230741420269,0.4835589766777837
80K,6BD6,input_model_19,7,1.1491981433567209,0.473577160390404
80K,6BD6,input_model_2,7,0.8412649260262646,0.4515865135628403
80K,6BD6,input_model_3,7,0.9542366460084827,0.5024884191740563
80K,6BD6,input_model_4,7,1.0459136255535126,0.43239185043515443
80K,6BD6,input_model_5,7,1.0043020283877224,0.4879741432816319
80K,6BD6,input_model_6,7,0.7004720386184148,0.38292940158314476
80K,6BD6,input_model_7,7,1.1178215065941874,0.5620633517354112
80K,6BD6,input_model_8,7,1.064548065738211,0.45966114769237754
80K,6BD6,input_model_9,7,0.8012425591324682,0.48077192098026456
8AW,4K9X,input_model_0,5,4.353699079117041,0.43539136980335025
8AW,4K9X,input_model_1,5,4.063649504670945,0.4401917378329767
8AW,4K9X,input_model_10,5,4.311340169614903,0.6308779510770172
8AW,4K9X,input_model_11,5,4.372322168419739,0.4368549725039311
8AW,4K9X,input_model_12,5,4.161563852501164,0.6252688021625309
8AW,4K9X,input_model_13,5,4.120609816813873,0.4222873819364275
8AW,4K9X,input_model_14,5,2.436594248987934,0.35145518011556015
8AW,4K9X,input_model_15,5,1.4306663717067978,0.3823470616437956
8AW,4K9X,input_model_16,5,2.4770848844141047,0.4080875758350441
8AW,4K9X,input_model_17,5,1.6549256259007494,0.26539815270445327
8AW,4K9X,input_model_18,5,1.244122004060034,0.25536129018027826
8AW,4K9X,input_model_19,5,1.6763274306959488,0.29749868070523566
8AW,4K9X,input_model_2,5,4.71221397479453,0.582417354457345
8AW,4K9X,input_model_3,5,4.378151010017969,0.48139203452743135
8AW,4K9X,input_model_4,5,4.191290045204812,0.474265872011307
8AW,4K9X,input_model_5,5,4.117533795816164,0.33185762141094627
8AW,4K9X,input_model_6,5,4.465481175239801,0.3741923497363243
8AW,4K9X,input_model_7,5,4.550350525058164,0.4824802956889192
8AW,4K9X,input_model_8,5,4.468884349762832,0.4390656989818948
8AW,4K9X,input_model_9,5,4.312829345562158,0.4119425718102636
A1ASO,9BVC,input_model_0,7,0.8516379519145842,0.6921181609406615
A1ASO,9BVC,input_model_1,7,1.0779950381552392,0.5579077604793685
A1ASO,9BVC,input_model_10,7,0.6829169350246844,0.2550221442384405
A1ASO,9BVC,input_model_11,7,0.6098386495134008,0.3468549288254608
A1ASO,9BVC,input_model_12,7,0.6756508983274515,0.41678658397329105
A1ASO,9BVC,input_model_13,7,0.6957095427540451,0.6137686405821235
A1ASO,9BVC,input_model_14,7,0.5013478804404338,0.28013760290766776
A1ASO,9BVC,input_model_15,7,0.7665195181919573,0.43812892043116086
A1ASO,9BVC,input_model_16,7,0.7595125525999885,0.3220791237543159
A1ASO,9BVC,input_model_17,7,0.8933312205460072,0.3641688616007412
A1ASO,9BVC,input_model_18,7,0.6208613955064811,0.3018767702047335
A1ASO,9BVC,input_model_19,7,0.4223432948074795,0.6379975970864954
A1ASO,9BVC,input_model_2,7,0.8203674574039981,0.3700531241400589
A1ASO,9BVC,input_model_3,7,0.6269799610049461,0.6888438210782836
A1ASO,9BVC,input_model_4,7,0.7631484063314398,0.3008763220389547
A1ASO,9BVC,input_model_5,7,0.5963594187915249,0.6331439364426155
A1ASO,9BVC,input_model_6,7,0.5804853421139194,0.31574127982526745
A1ASO,9BVC,input_model_7,7,0.7409000015976958,0.6240677136931729
A1ASO,9BVC,input_model_8,7,0.945729943644965,0.7054044891282455
A1ASO,9BVC,input_model_9,7,0.5222435385151699,0.6235644182118025
A1ASP,9BVB,input_model_0,7,0.6700471066854529,0.26332212042111036
A1ASP,9BVB,input_model_1,7,0.6995569666782278,0.3881318238297088
A1ASP,9BVB,input_model_10,7,0.6204275061034256,0.2710108237824115
A1ASP,9BVB,input_model_11,7,0.6396399283065906,0.25800989439367283
A1ASP,9BVB,input_model_12,7,0.6169738067541437,0.3086528812575105
A1ASP,9BVB,input_model_13,7,0.5828919933304472,0.24640449803255837
A1ASP,9BVB,input_model_14,7,0.7183492528424879,0.2884296427041947
A1ASP,9BVB,input_model_15,7,0.6795136123476393,0.2783310981441102
A1ASP,9BVB,input_model_16,7,0.9535377809222696,0.7113366807556972
A1ASP,9BVB,input_model_17,7,0.44400309190173654,0.2614101865128535
A1ASP,9BVB,input_model_18,7,0.8422093875992334,0.2985375756374479
A1ASP,9BVB,input_model_19,7,0.46521510102390856,0.2630513105553973
A1ASP,9BVB,input_model_2,7,0.6535246021864607,0.2742726124607288
A1ASP,9BVB,input_model_3,7,0.823062285973116,0.3166761072000905
A1ASP,9BVB,input_model_4,7,0.6204743535791284,0.28841994841748925
A1ASP,9BVB,input_model_5,7,0.533505199721861,0.2376205324672756
A1ASP,9BVB,input_model_6,7,0.7725798715274372,0.32195227763017004
A1ASP,9BVB,input_model_7,7,0.7862540462679332,0.31271217309284444
A1ASP,9BVB,input_model_8,7,0.5809438537908121,0.21934579715822933
A1ASP,9BVB,input_model_9,7,0.7193573074087077,0.23732255234071692
A1ASQ,9BVA,input_model_0,7,0.581815968390644,0.36594088123990554
A1ASQ,9BVA,input_model_1,7,0.6480655409165728,0.3334317897437044
A1ASQ,9BVA,input_model_10,7,0.5652777453377489,0.3218592213358482
A1ASQ,9BVA,input_model_11,7,0.4752113895692037,0.3112305095226109
A1ASQ,9BVA,input_model_12,7,0.4838026877822535,0.3350731882409243
A1ASQ,9BVA,input_model_13,7,0.6365628123388718,0.370087515187443
A1ASQ,9BVA,input_model_14,7,0.7428391028844474,0.3645167900927516
A1ASQ,9BVA,input_model_15,7,0.6677303741541366,0.30673964607745563
A1ASQ,9BVA,input_model_16,7,0.4680923799021004,0.31690628499442886
A1ASQ,9BVA,input_model_17,7,0.8352085579061281,0.6893802161933874
A1ASQ,9BVA,input_model_18,7,0.49021776921305055,0.4043427822124214
A1ASQ,9BVA,input_model_19,7,0.5426121296734444,0.3032455286227755
A1ASQ,9BVA,input_model_2,7,0.5096892655543395,0.30544580828037726
A1ASQ,9BVA,input_model_3,7,0.5344437076171782,0.3514329427386928
A1ASQ,9BVA,input_model_4,7,0.5874596603615001,0.30410799930275667
A1ASQ,9BVA,input_model_5,7,0.36247333644232155,0.366930227337854
A1ASQ,9BVA,input_model_6,7,0.48344450500361075,0.30221664382759794
A1ASQ,9BVA,input_model_7,7,0.7412621395820556,0.30699144606407563
A1ASQ,9BVA,input_model_8,7,0.4587319404716833,0.40362522081924884
A1ASQ,9BVA,input_model_9,7,0.4264577410084388,0.36506252136921613
A1ASR,9BV9,input_model_0,7,0.6964660200197161,0.3138460965321738
A1ASR,9BV9,input_model_1,7,0.7483011499086788,0.3554754929728801
A1ASR,9BV9,input_model_10,7,0.8966067276347786,0.2662223064533274
A1ASR,9BV9,input_model_11,7,0.6617146361519364,0.27171951814150286
A1ASR,9BV9,input_model_12,7,0.6289343741013371,0.3563838632316906
A1ASR,9BV9,input_model_13,7,0.6563143576545544,0.28636927402382745
A1ASR,9BV9,input_model_14,7,0.6783592931379119,0.258806222062931
A1ASR,9BV9,input_model_15,7,0.6408035356339279,0.2804935004475963
A1ASR,9BV9,input_model_16,7,0.8158494532334069,0.3621989890888378
A1ASR,9BV9,input_model_17,7,0.8909804658263645,0.24963353527163032
A1ASR,9BV9,input_model_18,7,0.7743130686680777,0.24552741753688906
A1ASR,9BV9,input_model_19,7,0.6159666202592574,0.24230964670050043
A1ASR,9BV9,input_model_2,7,0.8296563656727983,0.2914592428336349
A1ASR,9BV9,input_model_3,7,0.6828888909012453,0.3113221956462801
A1ASR,9BV9,input_model_4,7,0.6406915018064312,0.3008265901827844
A1ASR,9BV9,input_model_5,7,0.4893168656674706,0.26813738471782944
A1ASR,9BV9,input_model_6,7,0.6475226274348262,0.26540719626602066
A1ASR,9BV9,input_model_7,7,0.7248675995349109,0.3220171591141389
A1ASR,9BV9,input_model_8,7,0.4409634513226571,0.2649953456536977
A1ASR,9BV9,input_model_9,7,0.5899844976793932,0.21798171213797934
A1ASS,9BV8,input_model_0,7,0.5766911757577485,0.23993805052978395
A1ASS,9BV8,input_model_1,7,0.32023053636822707,0.28215148374050864
A1ASS,9BV8,input_model_10,7,0.5541910017270191,0.28988801573990924
A1ASS,9BV8,input_model_11,7,0.41665303865088943,0.29584087653063973
A1ASS,9BV8,input_model_12,7,0.4018965126401649,0.28916795678272056
A1ASS,9BV8,input_model_13,7,0.4740039600874623,0.2659607756798455
A1ASS,9BV8,input_model_14,7,0.41509303348102583,0.2150835275090026
A1ASS,9BV8,input_model_15,7,0.447140978594372,0.25565274670320354
A1ASS,9BV8,input_model_16,7,0.49642100424215685,0.23147511288744008
A1ASS,9BV8,input_model_17,7,0.5675113033562349,0.21792189957704072
A1ASS,9BV8,input_model_18,7,0.48885803293617974,0.21955769375289413
A1ASS,9BV8,input_model_19,7,0.6086605168611674,0.21717053062300656
A1ASS,9BV8,input_model_2,7,0.46386658052160523,0.255240915666064
A1ASS,9BV8,input_model_3,7,0.47601022267667925,0.22631401279115967
A1ASS,9BV8,input_model_4,7,0.4498083306331556,0.2510834280026865
A1ASS,9BV8,input_model_5,7,0.3564096861997092,0.2068131760162428
A1ASS,9BV8,input_model_6,7,0.3632459143829277,0.25457863003896297
A1ASS,9BV8,input_model_7,7,0.5213192895960731,0.27185491487348906
A1ASS,9BV8,input_model_8,7,0.5432215275013118,0.24205465961253586
A1ASS,9BV8,input_model_9,7,0.5510654243354212,0.21149897394296818
A1AST,9BV7,input_model_0,7,0.7388254615239622,0.27384403003733254
A1AST,9BV7,input_model_1,7,0.7096077205155863,0.2776696514171273
A1AST,9BV7,input_model_10,7,0.6286547918609006,0.28215899909826253
A1AST,9BV7,input_model_11,7,0.7708951024895693,0.3636538957682122
A1AST,9BV7,input_model_12,7,0.6747545612758357,0.27548662213278025
A1AST,9BV7,input_model_13,7,2.0332456560307857,0.33193906698046255
A1AST,9BV7,input_model_14,7,0.5743345157569711,0.28335018143135476
A1AST,9BV7,input_model_15,7,0.6047772968063716,0.2735581259081385
A1AST,9BV7,input_model_16,7,0.8273989699131413,0.28277630355571354
A1AST,9BV7,input_model_17,7,0.5546484398874436,0.2602744912997814
A1AST,9BV7,input_model_18,7,0.5764382257067405,0.2941554883155136
A1AST,9BV7,input_model_19,7,0.7221471719474148,0.32152837085408764
A1AST,9BV7,input_model_2,7,0.608163578692991,0.3023105074340529
A1AST,9BV7,input_model_3,7,0.7048997642294204,0.35558961228083985
A1AST,9BV7,input_model_4,7,0.8959702830894658,0.2852219864029445
A1AST,9BV7,input_model_5,7,0.6787594053817587,0.259348888925942
A1AST,9BV7,input_model_6,7,0.5037413645118176,0.2870577854686342
A1AST,9BV7,input_model_7,7,0.6987092233951459,0.2716607720395763
A1AST,9BV7,input_model_8,7,0.5297345720219848,0.3154760177000942
A1AST,9BV7,input_model_9,7,0.7683259843041199,0.3380788524464472
A1ASU,9BV6,input_model_0,6,4.5972758797982785,0.3860531707520646
A1ASU,9BV6,input_model_1,6,4.516289005846422,0.4192296084707188
A1ASU,9BV6,input_model_10,6,4.502450215830923,0.367779090763031
A1ASU,9BV6,input_model_11,6,4.384996169996825,0.42994398695010855
A1ASU,9BV6,input_model_12,6,4.134779412268169,0.4370052875797651
A1ASU,9BV6,input_model_13,6,4.5372756144752815,0.4535681670884049
A1ASU,9BV6,input_model_14,6,4.323563638379258,0.4537804615662817
A1ASU,9BV6,input_model_15,6,4.6747013966666735,0.45865555883013587
A1ASU,9BV6,input_model_16,6,4.433408417989994,0.3850682720338061
A1ASU,9BV6,input_model_17,6,4.577007009915481,0.4751075217137163
A1ASU,9BV6,input_model_18,6,4.581416104816399,0.366956916241926
A1ASU,9BV6,input_model_19,6,4.67780101033591,0.492326561382849
A1ASU,9BV6,input_model_2,6,4.636651617502712,0.33731499355002564
A1ASU,9BV6,input_model_3,6,4.047904431883729,0.3601838357521048
A1ASU,9BV6,input_model_4,6,4.476544851119785,0.4301189234391353
A1ASU,9BV6,input_model_5,6,4.558959301193787,0.4091734645749833
A1ASU,9BV6,input_model_6,6,4.671834430714879,0.40314481476413644
A1ASU,9BV6,input_model_7,6,4.648163634782027,0.4760135302947984
A1ASU,9BV6,input_model_8,6,4.719562313558486,0.47462741571279826
A1ASU,9BV6,input_model_9,6,3.9632617286996323,0.37937002472126236
A1ASV,9BV5,input_model_0,7,0.5866214717511746,0.34448361682568324
A1ASV,9BV5,input_model_1,7,0.4550299089832059,0.3685200111126628
A1ASV,9BV5,input_model_10,7,0.5502062610417271,0.34161268868779476
A1ASV,9BV5,input_model_11,7,0.6945973209000523,0.4186744498144378
A1ASV,9BV5,input_model_12,7,0.4746531163587887,0.3487002629391075
A1ASV,9BV5,input_model_13,7,0.4877784127680934,0.33062753170852327
A1ASV,9BV5,input_model_14,7,0.4876624779728597,0.3066934179192555
A1ASV,9BV5,input_model_15,7,0.3018719394151859,0.29175721983239106
A1ASV,9BV5,input_model_16,7,0.7151413644499554,0.34623461470794764
A1ASV,9BV5,input_model_17,7,0.46692224505525737,0.3047026636186844
A1ASV,9BV5,input_model_18,7,0.5920133747242743,0.392012252859309
A1ASV,9BV5,input_model_19,7,0.5939935547156883,0.33781961547879175
A1ASV,9BV5,input_model_2,7,0.5082940558577379,0.27516169291119413
A1ASV,9BV5,input_model_3,7,0.35695738007637984,0.40370237738573705
A1ASV,9BV5,input_model_4,7,0.5898290227179896,0.3749704613363059
A1ASV,9BV5,input_model_5,7,0.5482631291443989,0.33401645765402205
A1ASV,9BV5,input_model_6,7,0.6826182858620224,0.4228816054746533
A1ASV,9BV5,input_model_7,7,0.47952131813872473,0.3417569457843299
A1ASV,9BV5,input_model_8,7,0.6270655874199081,0.3821944759009552
A1ASV,9BV5,input_model_9,7,0.439168907572509,0.3394413127516205
A1CIW,9PLK,input_model_0,4,4.942609704527345,0.44207959762887605
A1CIW,9PLK,input_model_1,4,5.106787232614091,0.3750641380195883
A1CIW,9PLK,input_model_10,4,4.611873642932648,0.4532422072074029
A1CIW,9PLK,input_model_11,4,4.810846079380695,0.4075162339838416
A1CIW,9PLK,input_model_12,4,4.776092844606597,0.40996124201482703
A1CIW,9PLK,input_model_13,4,4.996955185194697,0.41408870654759017
A1CIW,9PLK,input_model_14,4,4.905596034497425,0.3840231162329605
A1CIW,9PLK,input_model_15,4,5.020373328272177,0.398058535476747
A1CIW,9PLK,input_model_16,4,5.021657274549419,0.44758726402767834
A1CIW,9PLK,input_model_17,4,4.963372794555888,0.4539689164805268
A1CIW,9PLK,input_model_18,4,4.9515673015428705,0.471050434646696
A1CIW,9PLK,input_model_19,4,5.048806175392744,0.392626249943038
A1CIW,9PLK,input_model_2,4,5.081436460397751,0.4481023853178504
A1CIW,9PLK,input_model_3,4,4.970420733114868,0.387696887589878
A1CIW,9PLK,input_model_4,4,4.933125445071816,0.4174168873011673
A1CIW,9PLK,input_model_5,4,5.082690111820156,0.3743765829970905
A1CIW,9PLK,input_model_6,4,4.790844557049937,0.41269243728314203
A1CIW,9PLK,input_model_7,4,4.407498904756762,0.41094838819000945
A1CIW,9PLK,input_model_8,4,5.0023227688698935,0.4310374968987066
A1CIW,9PLK,input_model_9,4,5.243723706578871,0.3609135573946217
CFF,8SO1,input_model_0,7,0.5062402678367287,0.15794207545756525
CFF,8SO1,input_model_1,7,0.44746689377722576,0.25650711994484654
CFF,8SO1,input_model_10,7,0.5130765168726066,0.21226017021063315
CFF,8SO1,input_model_11,7,0.3853364293156833,0.169486046028813
CFF,8SO1,input_model_12,7,0.6799433906413027,0.22718662624011446
CFF,8SO1,input_model_13,7,0.3645455303556966,0.18501260363926053
CFF,8SO1,input_model_14,7,0.31776376303038195,0.2037046934391269
CFF,8SO1,input_model_15,7,0.4590142462292791,0.19878986349749952
CFF,8SO1,input_model_16,7,0.32478426282663064,0.19333237943394432
CFF,8SO1,input_model_17,7,0.6469248756228695,0.28759583132640076
CFF,8SO1,input_model_18,7,0.3112107881845211,0.24177749977330884
CFF,8SO1,input_model_19,7,0.4940047130249822,0.20545243538586597
CFF,8SO1,input_model_2,7,0.453762145952303,0.2109469502133659
CFF,8SO1,input_model_3,7,0.47122475834120414,0.2189124662112582
CFF,8SO1,input_model_4,7,0.4216773772422659,0.19903649637557327
CFF,8SO1,input_model_5,7,0.4079591564296847,0.1880403718918843
CFF,8SO1,input_model_6,7,0.3688299572865109,0.21577372083997723
CFF,8SO1,input_model_7,7,0.41841647362286455,0.25176571615207377
CFF,8SO1,input_model_8,7,0.5143998404983767,0.23799462394184123
CFF,8SO1,input_model_9,7,0.41347139390115367,0.2455226752367047
CL6,8SPD,input_model_0,7,7.333280563067464,0.4230656739328398
CL6,8SPD,input_model_1,7,7.103746655894766,0.5105057245754838
CL6,8SPD,input_model_10,7,7.2607663119824,0.46715180263171935
CL6,8SPD,input_model_11,7,7.1981213528192445,0.48167249177738214
CL6,8SPD,input_model_12,7,7.294834308023423,0.45957561921074797
CL6,8SPD,input_model_13,7,7.382715261632937,0.46455096041298305
CL6,8SPD,input_model_14,7,6.982184741674883,0.5599135044834882
CL6,8SPD,input_model_15,7,7.306015625499129,0.45539409994283736
CL6,8SPD,input_model_16,7,7.275174460183297,0.4526316716287663
CL6,8SPD,input_model_17,7,7.272594609232384,0.4296766710176759
CL6,8SPD,input_model_18,7,7.283992734915539,0.5182395274492457
CL6,8SPD,input_model_19,7,6.013902227591699,0.6037110665009122
CL6,8SPD,input_model_2,7,7.211464556023136,0.4318309161857951
CL6,8SPD,input_model_3,7,7.4300263534067374,0.40886356358136855
CL6,8SPD,input_model_4,7,7.124105406893536,0.41148684665649443
CL6,8SPD,input_model_5,7,7.3069736818476425,0.45938402762162867
CL6,8SPD,input_model_6,7,7.102860038571911,0.4323132222744054
CL6,8SPD,input_model_7,7,7.212492997553929,0.4679509400255034
CL6,8SPD,input_model_8,7,7.355274470312284,0.44297354478712986
CL6,8SPD,input_model_9,7,7.196117050235485,0.4848265125782302
D7J,6BD7,input_model_0,7,0.3671131079483685,0.17914196526147746
D7J,6BD7,input_model_1,7,0.42884824274338557,0.25496383377414006
D7J,6BD7,input_model_10,7,0.4199444268037286,0.217377638285819
D7J,6BD7,input_model_11,7,0.38992639413206437,0.168002151603622
D7J,6BD7,input_model_12,7,0.22937465271696372,0.19655294418855668
D7J,6BD7,input_model_13,7,0.46700071927562575,0.21780456584797056
D7J,6BD7,input_model_14,7,0.39169530990938733,0.19089975349199295
D7J,6BD7,input_model_15,7,0.3149137649140225,0.18813484886917065
D7J,6BD7,input_model_16,7,0.3221649849465891,0.1522631482903367
D7J,6BD7,input_model_17,7,0.29510003374329874,0.21297476606529672
D7J,6BD7,input_model_18,7,0.3280482784198077,0.16138579743973547
D7J,6BD7,input_model_19,7,0.27039938197477154,0.2168319592562896
D7J,6BD7,input_model_2,7,0.7388308019355917,0.3057924259529285
